Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
alpha_0.00pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_22_34_55.csv,0.0,0.00π,1.0,40000.0,100,100,0.9994949235903335,0.0031340686954918315,0.0005050764096664338
alpha_1.00pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_56_38.csv,1.0,1.00π,1.0,30000.0,100,100,0.9993036452979985,0.0036799780260763247,0.0006963547020015134
alpha_0.75pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_52_01.csv,0.75,0.75π,1.0,25000.0,100,100,0.9993932535541431,0.005110328490146506,0.0006067464458569507
alpha_1.25pi_Pt_1.0000_100x100_mesh_4.0E+04_states_SIM_02_05_2026_23_00_43.csv,1.25,1.25π,1.0,40000.0,100,100,0.9996292550413847,0.0039946876224743934,0.00037074495861530237
alpha_0.25pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_22_41_09.csv,0.25,0.25π,1.0,30000.0,100,100,0.9995020713770674,0.004629443016877266,0.0004979286229326057
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_58_43.csv,1.0,1.00π,1.0,10000.0,100,100,0.9980059376768617,0.006227293472143278,0.001994062323138311
alpha_1.00pi_Pt_1.0000_100x100_mesh_4.5E+04_states_SIM_02_05_2026_22_55_02.csv,1.0,1.00π,1.0,45000.0,100,100,0.9995718298615444,0.002885613471858732,0.00042817013845567495
alpha_1.00pi_Pt_1.0000_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_37_44.csv,1.0,1.00π,1.0,50000.0,100,100,0.9995895360587204,0.002825318899772371,0.0004104639412796431
alpha_0.50pi_Pt_1.0000_100x100_mesh_5.0E+03_states_SIM_02_05_2026_22_48_55.csv,0.5,0.50π,1.0,5000.0,100,100,0.9983559037890579,0.011695038715651324,0.001644096210942089
alpha_1.25pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_23_04_53.csv,1.25,1.25π,1.0,1000.0,100,100,0.9853465280788095,0.02511397543093079,0.014653471921190457
alpha_0.00pi_Pt_1.0000_100x100_mesh_1.0E+03_states_SIM_02_05_2026_22_39_06.csv,0.0,0.00π,1.0,1000.0,100,100,0.9797194688816744,0.019859560419065656,0.020280531118325663
alpha_1.00pi_Pt_1.0000_100x100_mesh_1.5E+04_states_SIM_02_05_2026_22_58_12.csv,1.0,1.00π,1.0,15000.0,100,100,0.9986183479973862,0.005183574021224076,0.0013816520026137147
alpha_0.75pi_Pt_1.0000_100x100_mesh_1.0E+04_states_SIM_02_05_2026_22_53_34.csv,0.75,0.75π,1.0,10000.0,100,100,0.9984909618012666,0.008059262722265445,0.0015090381987333658
alpha_1.00pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_22_57_10.csv,1.0,1.00π,1.0,25000.0,100,100,0.9991711554142384,0.004014824092588549,0.0008288445857616458
alpha_0.00pi_Pt_1.0000_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_35_15.csv,0.0,0.00π,1.0,50000.0,100,100,0.9995881258635455,0.002830168089262028,0.00041187413645453746
alpha_1.25pi_Pt_1.0000_100x100_mesh_2.5E+04_states_SIM_02_05_2026_23_02_19.csv,1.25,1.25π,1.0,25000.0,100,100,0.9993952951846692,0.005101723417709433,0.0006047048153308499
alpha_1.25pi_Pt_1.0000_100x100_mesh_2.0E+04_states_SIM_02_05_2026_23_02_50.csv,1.25,1.25π,1.0,20000.0,100,100,0.9992427626480864,0.005709015351812235,0.0007572373519135935
alpha_1.25pi_Pt_1.0000_100x100_mesh_3.0E+04_states_SIM_02_05_2026_23_01_47.csv,1.25,1.25π,1.0,30000.0,100,100,0.9994991196170603,0.0046431445918863464,0.0005008803829397151
