Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_22_58.csv,1.25,1.25π,0.9107,20000.0,100,100,0.9988998717514898,0.006266747429941993
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_00_32.csv,0.0,0.00π,0.9107,1000.0,100,100,0.9678861287142024,0.02275891935666824
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_03_38.csv,0.25,0.25π,0.9107,20000.0,100,100,0.9989058595860979,0.006249669672713332
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_04_38.csv,0.25,0.25π,0.9107,10000.0,100,100,0.9979179336668909,0.008621201865804503
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_20_31.csv,1.25,1.25π,0.9107,45000.0,100,100,0.9994742123763201,0.004332371727114472
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_13_30.csv,0.75,0.75π,0.9107,20000.0,100,100,0.9989074185693516,0.006245215672417263
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_17_46.csv,1.0,1.00π,0.9107,25000.0,100,100,0.9983844595175764,0.00510462952778016
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_03_07.csv,0.25,0.25π,0.9107,25000.0,100,100,0.9991236636932539,0.00559314316454033
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_00_01.csv,0.0,0.00π,0.9107,5000.0,100,100,0.9932897863766821,0.010403356450186214
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_05_08.csv,0.25,0.25π,0.9107,5000.0,100,100,0.9959119571457979,0.012080314844412384
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_18_42.csv,1.0,1.00π,0.9107,15000.0,100,100,0.9975345319147066,0.00630601498353762
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_24_23.csv,1.25,1.25π,0.9107,5000.0,100,100,0.9958810546210469,0.012125887922521967
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_23_55.csv,1.25,1.25π,0.9107,10000.0,100,100,0.9978755622995539,0.008708483499786292
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_02_06.csv,0.25,0.25π,0.9107,35000.0,100,100,0.9993442245460951,0.004838359249914626
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_17_19_11.csv,1.0,1.00π,0.9107,10000.0,100,100,0.9965086841890242,0.007504121780646147
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_09_11.csv,0.5,0.50π,0.9107,15000.0,100,100,0.9992553737746253,0.007167745060235991
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_07_07.csv,0.5,0.50π,0.9107,35000.0,100,100,0.9996753088846377,0.004733131697654415
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_11_03.csv,0.75,0.75π,0.9107,45000.0,100,100,0.9994771742750939,0.004320151803542235
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_14_55.csv,0.75,0.75π,0.9107,5000.0,100,100,0.9959209216079348,0.01206706241997395
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_1.0E+04_states_SIM_02_05_2026_16_59_22.csv,0.0,0.00π,0.9107,10000.0,100,100,0.9964524202046876,0.007564346113531628
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_01_00.csv,0.25,0.25π,0.9107,45000.0,100,100,0.9994745639767251,0.0043309229307500205
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_08_10.csv,0.5,0.50π,0.9107,25000.0,100,100,0.9995561051324745,0.005534182134053526
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_16_56_16.csv,0.0,0.00π,0.9107,35000.0,100,100,0.9987724015579386,0.004449728056850144
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_16_57_59.csv,0.0,0.00π,0.9107,20000.0,100,100,0.998050879768913,0.005606923367563574
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_07_39.csv,0.5,0.50π,0.9107,30000.0,100,100,0.9996232089271726,0.005098749650251409
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_21_30.csv,1.25,1.25π,0.9107,35000.0,100,100,0.9993582709950766,0.004786260894436092
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_12_02.csv,0.75,0.75π,0.9107,35000.0,100,100,0.9993478417866729,0.004824996664774785
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_08_40.csv,0.5,0.50π,0.9107,20000.0,100,100,0.9994509927190529,0.00615463692758831
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.5E+04_states_SIM_02_05_2026_17_23_27.csv,1.25,1.25π,0.9107,15000.0,100,100,0.9985881561483396,0.0070992728315914435
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_02_37.csv,0.25,0.25π,0.9107,30000.0,100,100,0.9992586336680932,0.005144426456415512
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_13_01.csv,0.75,0.75π,0.9107,25000.0,100,100,0.9991026179870864,0.005659905935807553
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_12_32.csv,0.75,0.75π,0.9107,30000.0,100,100,0.999241777520395,0.0052025811306472955
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_05_38.csv,0.25,0.25π,0.9107,1000.0,100,100,0.9792506254122506,0.027215921205518946
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_06_04.csv,0.5,0.50π,0.9107,45000.0,100,100,0.9997419004011747,0.004219947528948666
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_22_00.csv,1.25,1.25π,0.9107,30000.0,100,100,0.9992629062000729,0.0051295812410634125
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_16_54_58.csv,0.0,0.00π,0.9107,45000.0,100,100,0.9989375700644215,0.00413957213923004
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_21_01.csv,1.25,1.25π,0.9107,40000.0,100,100,0.9994242804172733,0.00453342081526864
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_06_36.csv,0.5,0.50π,0.9107,40000.0,100,100,0.9997213491299,0.004384737391698333
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_16_57_25.csv,0.0,0.00π,0.9107,25000.0,100,100,0.9983896663617252,0.005096396846172686
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_16_47.csv,1.0,1.00π,0.9107,35000.0,100,100,0.9987618694735606,0.004468775336559789
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_15_48.csv,1.0,1.00π,0.9107,45000.0,100,100,0.9989700732350838,0.004075758828750319
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_18_14.csv,1.0,1.00π,0.9107,20000.0,100,100,0.9980471105789329,0.005612342056451471
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_16_55_34.csv,0.0,0.00π,0.9107,40000.0,100,100,0.9988754080895808,0.004258952371834179
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_15_23.csv,0.75,0.75π,0.9107,1000.0,100,100,0.9800808371564089,0.026665889457425596
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_19_39.csv,1.0,1.00π,0.9107,5000.0,100,100,0.9934618487798578,0.010269109536582161
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_24_51.csv,1.25,1.25π,0.9107,1000.0,100,100,0.9799011565414472,0.02678588914936888
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_10_10.csv,0.5,0.50π,0.9107,5000.0,100,100,0.9978086067745897,0.012296274325650327
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_16_18.csv,1.0,1.00π,0.9107,40000.0,100,100,0.9988635697361453,0.004281310255246024
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_20_06.csv,1.0,1.00π,0.9107,1000.0,100,100,0.9672951518231278,0.022967375690898472
