Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_17_13_01.csv,0.75,0.75π,0.9107,25000.0,100,100,0.999175707936695,0.005430998983637332,0.0008242920633050758
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_12_32.csv,0.75,0.75π,0.9107,30000.0,100,100,0.999314887462771,0.00495131001877885,0.0006851125372290629
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_05_38.csv,0.25,0.25π,0.9107,1000.0,100,100,0.9793349200624033,0.027193036597387914,0.020665079937596698
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_06_04.csv,0.5,0.50π,0.9107,45000.0,100,100,0.9997542987813909,0.004119940021355259,0.0002457012186090829
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_3.0E+04_states_SIM_02_05_2026_17_22_00.csv,1.25,1.25π,0.9107,30000.0,100,100,0.9993377763050882,0.004867898569672139,0.0006622236949117137
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_16_54_58.csv,0.0,0.00π,0.9107,45000.0,100,100,0.9992932426005913,0.003385396549227492,0.0007067573994086828
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_21_01.csv,1.25,1.25π,0.9107,40000.0,100,100,0.9994956653085539,0.004248137682206768,0.0005043346914460248
gpu_alpha_0.25pi_Pt_0.9107_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_41_03.csv,0.25,0.25π,0.9107,50000.0,100,100,0.9995913333885466,0.0038240515732983196,0.0004086666114534898
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_42_44.csv,1.0,1.00π,0.9107,50000.0,100,100,0.9993549222285046,0.00323430076621474,0.000645077771495331
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_41_37.csv,0.5,0.50π,0.9107,50000.0,100,100,0.999783405204225,0.003868220721355547,0.00021659479577493888
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_06_36.csv,0.5,0.50π,0.9107,40000.0,100,100,0.9997346933294101,0.004281158659968142,0.0002653066705898893
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_2.5E+04_states_SIM_02_05_2026_16_57_25.csv,0.0,0.00π,0.9107,25000.0,100,100,0.9987270032634099,0.0045434736147634555,0.0012729967365901025
